Iteration,QD-Score,Coverage,Maximum,Average
1,53865.6768571554,0.0752,398.7948769569397,286.5195577508266
2,76220.43161221742,0.0852,601.7186524868011,357.842401935293
3,94302.31562457084,0.0904,877.0557828426361,417.26688329456124
4,110395.14530910253,0.0912,1236.5289219379424,484.1892338118532
5,141532.60098272562,0.0944,2185.541919207573,599.7144109437527
6,186420.77896925213,0.0988,3406.22193441391,754.7399958269317
7,225849.56615990403,0.102,4795.985530257225,885.6845731760942
8,254244.8931388021,0.1036,5840.307822322846,981.6405140494289
9,309980.8396686435,0.1076,6425.466121292115,1152.3451288797155
10,320871.6029487252,0.108,6954.290924644471,1188.4133442545378
11,341111.0905402064,0.1092,7286.814756274223,1249.4911741399503
12,374019.93419123883,0.1112,7287.333854198456,1345.395446731075
13,412091.02382153267,0.1136,7287.333854198456,1451.02473176596
14,431242.5633599638,0.1148,7287.333854198456,1502.5873287803618
15,462473.71409896604,0.1168,7287.333854198456,1583.8140893800207
16,481980.4905897497,0.118,7287.333854198456,1633.832171490677
17,501380.60074385395,0.1196,7287.333854198456,1676.858196467739
18,527204.9489363788,0.1216,7287.333854198456,1734.2268057117724
19,533067.5482000707,0.1224,7287.333854198456,1742.0508111113422
20,593961.1545397162,0.1332,7287.333854198456,1783.6671307498984
21,609502.9109873772,0.1516,7287.333854198456,1608.1871002305465
22,621639.0211286187,0.1596,7287.333854198456,1557.9925341569392
23,650885.393813777,0.1636,7287.333854198456,1591.4068308405306
24,686543.1885839223,0.166,7287.333854198456,1654.3209363468009
25,710116.909914422,0.1676,7287.333854198456,1694.789761132272
26,720391.5961591004,0.168,7287.333854198456,1715.2180860930962
27,734940.3781219242,0.1688,7287.333854198456,1741.5648770661712
28,750741.6394654273,0.1696,7434.548619031906,1770.6170742109134
29,763249.977605009,0.1704,7434.548619031906,1791.6666140962652
30,772295.0430181264,0.1708,7595.793318629265,1808.65349652957
31,779921.8891874789,0.1712,7817.126370882988,1822.2474046436423
32,787986.7471905707,0.1716,7817.126370882988,1836.7989445001647
33,795014.125159478,0.172,7817.126370882988,1848.870058510414
34,810053.8032613753,0.1728,7817.126370882988,1875.1245445865168
35,817739.0400844334,0.1732,7817.126370882988,1888.5428177469594
36,868443.5513209818,0.1764,7817.126370882988,1969.259753562317
37,911620.220080304,0.1792,7817.126370882988,2034.86656267925
38,987944.5182208179,0.1852,7817.126370882988,2133.789456200471
39,1042954.5424028038,0.19,7817.126370882988,2195.693773479587
40,1065738.702785194,0.1936,7817.126370882988,2201.93946856445
41,1079089.6844839095,0.2,7817.126370882988,2158.179368967819
42,1085319.0615061997,0.2168,7817.126370882988,2002.4336928158666
43,1098581.8005872844,0.2384,7817.126370882988,1843.2580546766517
44,1106050.3008413014,0.2428,7817.126370882988,1822.1586504799036
45,1122525.041673809,0.2468,7817.126370882988,1819.3274581423161
46,1177051.8420450804,0.2636,7817.126370882988,1786.1181214644619
47,1232968.5218420862,0.2684,7817.126370882988,1837.5089744293387
48,1315920.612825346,0.2768,7817.126370882988,1901.6193826955866
49,1369061.583066237,0.2812,7817.126370882988,1947.456021431347
50,1451556.0108616233,0.2896,7817.126370882988,2004.911617212187
51,1501325.627442348,0.2948,7817.126370882988,2037.0768350642443
52,1523175.9705700756,0.2972,7817.126370882988,2050.034953660936
53,1544979.275819552,0.2996,7817.126370882988,2062.7226646455965
54,1559394.2541999458,0.3012,7817.126370882988,2070.908704116794
55,1574427.321945536,0.3028,7817.126370882988,2079.824731764248
56,1623739.7884400962,0.3084,7817.126370882988,2106.017883839295
57,1706845.8387359497,0.3184,7817.126370882988,2144.278691879334
58,1765165.3236596226,0.3328,7817.126370882988,2121.5929370908925
59,1808900.171774684,0.3672,7817.126370882988,1970.4794899506362
60,1843871.997075437,0.37,7817.126370882988,1993.3751319734456
61,1855726.7006393657,0.3704,7817.126370882988,2004.0245147293367
62,1857201.093986963,0.3704,7817.126370882988,2005.6167321673465
63,1860934.4176304326,0.3708,7817.126370882988,2007.4804936682121
64,1868505.8602085814,0.3716,7817.126370882988,2011.3087838628433
