Iteration,QD-Score,Coverage,Maximum,Average
1,-21459.728989515934,0.0055,-84.31150711087976,-390.1768907184715
2,-17162.25514303628,0.0064,-13.545339790254365,-268.1602366099419
3,-16473.454158422777,0.0083,8.355208034231328,-198.47535130629853
4,-14698.102529567986,0.0093,24.701828715577722,-158.04411322116115
5,-14000.820704507707,0.0098,46.10175929060206,-142.86551739293577
6,-13188.81730552647,0.0102,65.50746687294449,-129.30213044633794
7,-12518.809165529934,0.0107,67.72089383854764,-116.99821650027975
8,-9292.280444881177,0.0115,232.75156802299026,-80.80243865114066
9,-5137.1799817095825,0.0124,446.2400400074883,-41.42887082023857
10,-3346.7473831269353,0.0127,518.7611461158085,-26.352341599424687
11,-2573.7726162915023,0.0127,548.6238563933351,-20.265926112531513
12,-888.0112659731387,0.0129,563.8193277000391,-6.883808263357665
13,2104.8517751849577,0.0133,599.7306094539351,15.82595319687938
14,6176.086990005048,0.0135,655.3802834260102,45.748792518555916
15,9810.81096805611,0.0135,726.2681349737293,72.67267383745266
16,27920.10804986475,0.015,793.8239157601841,186.134053665765
17,46344.09104035463,0.0162,973.6885645420989,286.0746360515718
18,75181.33139432697,0.0197,973.6885645420989,381.63112382907093
19,88685.59868950627,0.0213,1040.6443894013296,416.3643130962736
20,107626.4738792964,0.0231,1134.1581633033697,465.91547133894545
21,121723.10112211792,0.0246,1227.0191815942294,494.8093541549509
22,153791.31058926458,0.0282,1281.0030038101281,545.3592574087396
23,189873.57077124866,0.0307,1502.6376185116358,618.4806865512986
24,248116.23639025274,0.0363,1684.775523386267,683.515802727969
25,255757.91865807417,0.0366,1684.775523386267,698.7921274810769
26,294028.90856675414,0.0399,1684.775523386267,736.9145578114138
27,342184.40022321115,0.0432,1849.2826942921383,792.093519035211
28,381354.5287526425,0.0469,1849.2826942921383,813.1226625855917
29,411179.543820502,0.0491,2000.2176465354394,837.4328794714909
30,446458.1374471002,0.0509,2048.1874495315365,877.1279714088413
31,470621.74834973784,0.0524,2118.1442677482496,898.1331075376677
32,490272.7335596124,0.0536,2118.1442677482496,914.6879357455456
33,512337.07758819754,0.0549,2118.1442677482496,933.2187205613799
34,542920.0714576904,0.0582,2118.1442677482496,932.8523564565128
35,554223.3259454689,0.0589,2118.1442677482496,940.9564107732917
36,572809.463528251,0.0609,2118.1442677482496,940.5738317376864
37,602726.2830440835,0.0654,2118.1442677482496,921.5998211683234
38,647346.9235069321,0.0703,2118.1442677482496,920.8348840781396
39,694731.1153990836,0.0741,2118.1442677482496,937.5588601876972
40,710970.9112501508,0.0748,2118.1442677482496,950.4958706552818
41,736072.2885086249,0.0765,2118.1442677482496,962.1859980504901
42,747453.0928226473,0.0772,2118.1442677482496,968.2034881122374
43,755408.8701503801,0.0778,2129.387027709745,970.9625580339075
44,783699.9249759205,0.0795,2299.030195835978,985.7860691521012
45,815816.963077593,0.0832,2446.5932372182715,980.5492344682608
46,849008.9757085097,0.0845,2651.3232918513645,1004.744349950899
47,862402.9334855994,0.087,2888.1856434148053,991.2677396386199
48,883780.0466083426,0.0895,3139.063323925448,987.4637392271984
49,892649.0634194342,0.09,3376.7937740243,991.8322926882603
50,933005.2521255673,0.0932,3376.7937740243,1001.0785967012524
51,948628.504622942,0.0947,3589.424233990169,1001.7196458531594
52,965365.0266562927,0.0956,3589.424233990169,1009.7960529877539
53,974016.5353495748,0.0968,3589.424233990169,1006.2154290801392
54,979138.6680446257,0.097,3589.424233990169,1009.4213072625007
55,993083.4634535295,0.0972,3763.2668252408503,1021.6908060221497
56,999212.554354591,0.0977,3918.649235925921,1022.7354701684657
57,1000436.7841235243,0.0978,3918.649235925921,1022.9414970588183
58,1003142.0628724948,0.098,3918.649235925921,1023.6143498698926
59,1005137.1270185453,0.098,3918.649235925921,1025.6501296107606
60,1008357.1102482078,0.0982,3918.649235925921,1026.8402344686433
61,1009360.272848736,0.0982,3918.649235925921,1027.8617849783463
62,1011773.3767990439,0.0986,3918.649235925921,1026.1393273823974
63,1012555.0387790294,0.0986,3918.649235925921,1026.932088011186
64,1013681.1132625712,0.0986,3918.649235925921,1028.074151381918
65,1016237.9540523086,0.0987,3918.649235925921,1029.6230537510726
66,1017102.98023782,0.0987,3918.649235925921,1030.4994733919148
67,1020983.1890853274,0.0994,3918.649235925921,1027.1460654781965
68,1022382.6162190018,0.0994,3918.649235925921,1028.5539398581507
69,1031687.572345174,0.0994,3918.649235925921,1037.915062721503
70,1035766.2974336278,0.0995,3918.649235925921,1040.9711531996259
71,1036909.922717205,0.0997,3918.649235925921,1040.0300127554715
72,1038801.7301938834,0.0999,3918.649235925921,1039.841571765649
73,1049530.5794631967,0.1001,3998.0070716672576,1048.482097365831
74,1056707.3347640757,0.1006,4091.603025231143,1050.4049053320832
75,1065644.6590765521,0.1015,4264.195706697134,1049.8962158389677
76,1069435.6467628577,0.1015,4379.039101795476,1053.631179076707
77,1074974.651588553,0.1019,4555.984656922168,1054.9309632861168
78,1077583.3822269202,0.1023,4555.984656922168,1053.356189860137
79,1059322.0750617716,0.1057,4555.984656922168,1002.1968543630762
80,1061054.4300255633,0.1057,4555.984656922168,1003.8357899958025
81,1061528.2744401805,0.1058,4555.984656922168,1003.3348529680345
82,1063839.1074037733,0.106,4555.984656922168,1003.621799437522
83,1063680.6657925448,0.1064,4555.984656922168,999.6998738651737
84,1068772.2391120752,0.107,4555.984656922168,998.8525599178273
85,1069222.5157081392,0.1073,4555.984656922168,996.4795113775762
86,1069829.7919957435,0.1073,4555.984656922168,997.0454725030229
