Iteration,QD-Score,Coverage,Maximum,Average
1,54893.70612285944,0.0664,479.8595162153244,330.68497664373155
2,73760.49053372144,0.0712,703.0326194286347,414.38477827933394
3,95295.11047061681,0.076,1110.986633205414,501.55321300324636
4,128578.9576471865,0.0788,2136.858907032013,652.6850641989163
5,178746.61292421218,0.0816,4717.66244020462,876.208886883393
6,224228.3859876811,0.0844,5894.283968758583,1062.693772453465
7,245975.3691979944,0.0856,6583.0539604663845,1149.4176130747403
8,266207.7826918065,0.0868,7042.9910254478455,1226.7639755382788
9,273978.6744023024,0.0872,7314.176062250137,1256.7829101023046
10,282463.2965653836,0.0876,7539.614308333397,1289.7867423076877
11,289487.42232608196,0.088,7539.614308333397,1315.8519196640088
12,335749.9759737193,0.0908,7576.416763186455,1479.0747840251952
13,364965.03677842015,0.0928,7576.416763186455,1573.125158527673
14,379452.90335652226,0.0936,7576.416763186455,1621.593604087702
15,408498.99856820697,0.0956,7576.416763186455,1709.200830829318
16,461835.7201118528,0.0996,7576.416763186455,1854.7619281600514
17,543795.2577196418,0.106,7576.416763186455,2052.057576300535
18,632891.4920605121,0.1096,7576.416763186455,2309.8229637244967
19,702617.6037635026,0.1112,7576.416763186455,2527.4014523867
20,737283.2924282488,0.114,7576.416763186455,2586.958920800873
21,817316.5186977086,0.1224,7576.416763186455,2670.969015351989
22,842767.7814930138,0.1248,7576.416763186455,2701.1787868365827
23,896798.6709651884,0.13,7576.416763186455,2759.3805260467334
24,926928.1794772443,0.1324,7576.416763186455,2800.3872491759644
25,965569.2415003356,0.1356,7576.416763186455,2848.286848083586
26,1030285.7478637036,0.1404,7576.416763186455,2935.2870309507225
27,1069773.8935795126,0.1428,7576.416763186455,2996.565528233929
28,1084796.179326683,0.1436,7576.416763186455,3021.716376954549
29,1093633.3106431302,0.144,7739.104533267021,3037.8703073420284
30,1109613.8504694519,0.1448,8074.4074483394625,3065.2316311310824
31,1110804.6672390995,0.1448,8409.883167982101,3068.5211802185067
32,1142917.6020671425,0.1464,8587.408269739151,3122.72568870804
33,1152979.3228086766,0.1468,8845.38197119236,3141.6330321762307
34,1160617.9671436127,0.1472,8970.667500519752,3153.853171585904
35,1161016.2221627529,0.1472,9105.731833577156,3154.9353863118286
36,1169905.246650272,0.1476,9211.209324622154,3170.474923171469
37,1179138.4745172556,0.148,9247.239602160455,3186.8607419385285
38,1179256.2241784628,0.148,9300.81049592495,3187.1789842661155
39,1180121.7314926202,0.148,9300.81049592495,3189.5181932232977
40,1197481.7151826674,0.1488,9334.913917088508,3219.0368687706114
41,1205612.3637025647,0.1492,9334.913917088508,3232.2047284251066
42,1205736.5053262524,0.1492,9340.786272716523,3232.5375477915613
43,1206720.4410038763,0.1492,9340.786272716523,3235.1754450506064
44,1207440.588012486,0.1492,9340.786272716523,3237.106134081732
45,1207440.588012486,0.1492,9340.786272716523,3237.106134081732
46,1207440.588012486,0.1492,9340.786272716523,3237.106134081732
47,1207440.588012486,0.1492,9340.786272716523,3237.106134081732
48,1215686.1567759567,0.1496,9340.786272716523,3250.497745390259
49,1216398.1636591249,0.1496,9340.786272716523,3252.4015071099598
50,1216398.1636591249,0.1496,9340.786272716523,3252.4015071099598
51,1216398.1636591249,0.1496,9340.786272716523,3252.4015071099598
52,1216398.1636591249,0.1496,9340.786272716523,3252.4015071099598
53,1216398.1636591249,0.1496,9340.786272716523,3252.4015071099598
54,1216398.1636591249,0.1496,9340.786272716523,3252.4015071099598
55,1221136.8349952751,0.1496,9340.786272716523,3265.0717513242653
56,1262691.9179016168,0.1516,9340.786272716523,3331.640944331443
57,1278504.941702002,0.152,9340.786272716523,3364.486688689479
58,1289861.6276803312,0.1524,9340.786272716523,3385.4635897121557
59,1310442.2748115598,0.154,9340.786272716523,3403.7461683417137
60,1352100.7313118754,0.158,9340.786272716523,3423.0398261060136
61,1388959.2633052408,0.1616,9340.786272716523,3438.0179784783186
62,1431505.250949949,0.166,9340.786272716523,3449.4102432528894
63,1454980.6798010767,0.1684,9340.786272716523,3456.0111159170465
64,1497782.3262610377,0.1728,9340.786272716523,3467.0887181968465
65,1537244.8480055274,0.1768,9340.786272716523,3477.9295203744964
66,1557309.6292201818,0.1788,9340.786272716523,3483.9141593292657
67,1619365.5586417497,0.1848,9340.786272716523,3505.120256800324
68,1658345.1002929271,0.1884,9340.786272716523,3520.9025483926266
69,1764751.5267395675,0.1984,9340.786272716523,3557.9667877813863
70,1835130.6142410815,0.2024,9340.786272716523,3626.7403443499634
71,1889091.23178578,0.2052,9340.786272716523,3682.4390483153607
72,1906087.4962137758,0.2064,9340.786272716523,3693.9680159181703
73,1952519.8182734668,0.208,9340.786272716523,3754.8458043720516
74,1979432.062962681,0.208,9340.786272716523,3806.600121082079
75,2015074.0596045791,0.2088,9340.786272716523,3860.2951333421056
76,2023641.007445222,0.2088,9340.786272716523,3876.7069108146015
77,2045870.7153336108,0.2088,9340.786272716523,3919.2925581103655
78,2074627.693690759,0.2088,9340.786272716523,3974.3825549631397
79,2095729.9765713215,0.2088,9340.786272716523,4014.808384236248
80,2110382.1484234096,0.2088,9340.786272716523,4042.877678972049
81,2130761.1761915684,0.2088,9340.786272716523,4081.917962052813
82,2143579.4642798067,0.2088,9340.786272716523,4106.474069501545
83,2168517.095258832,0.2092,9340.786272716523,4146.304197435626
84,2200202.7155869724,0.2104,9340.786272716523,4182.89489655318
85,2231029.7647282365,0.212,9340.786272716523,4209.490122128748
86,2232225.2351432564,0.212,9340.786272716523,4211.745726685389
87,2257831.8037577393,0.2132,9340.786272716523,4236.082183410393
88,2273707.346398187,0.214,9340.786272716523,4249.920273641471
89,2273967.876961303,0.214,9340.786272716523,4250.407246656641
90,2291394.1032402758,0.2148,9340.786272716523,4267.028125214666
91,2299334.718156696,0.2152,9340.786272716523,4273.856353451108
92,2300116.0662816768,0.2152,9340.786272716523,4275.308673386016
93,2300978.4108065846,0.2152,9340.786272716523,4276.911544250157
94,2302072.2747389083,0.2152,9340.786272716523,4278.944748585332
95,2302162.3270242694,0.2152,9340.786272716523,4279.112132015371
96,2339296.0482439282,0.2172,9340.786272716523,4308.095853119573
97,2350080.5037569287,0.2176,9340.786272716523,4320.000926023766
98,2394310.3955728533,0.2204,9340.786272716523,4345.390917555088
99,2411374.414019108,0.2212,9340.786272716523,4360.5323942479345
100,2422728.932600081,0.222,9340.786272716523,4365.277356036182
101,2447269.743060887,0.23,9340.786272716523,4256.121292279803
102,2450466.754928255,0.2316,9340.786272716523,4232.239645817366
103,2454689.5734059927,0.2316,9340.786272716523,4239.532941979262
104,2465795.9153303024,0.2316,9340.786272716523,4258.71487967237
105,2471402.8875906942,0.232,9340.786272716523,4261.039461363266
106,2473797.4689348876,0.232,9340.786272716523,4265.168049887737
107,2486411.8483625352,0.2332,9340.786272716523,4264.857372834537
108,2486478.7862529694,0.2332,9340.786272716523,4264.972189113155
109,2487407.0161767183,0.2332,9340.786272716523,4266.564350217355
110,2512238.0864774524,0.2344,9340.786272716523,4287.095710712376
111,2516554.1576057253,0.2348,9340.786272716523,4287.145072582156
112,2527845.2690047324,0.236,9340.786272716523,4284.483506787682
113,2535853.9449437917,0.2364,9340.786272716523,4290.785016825366
114,2556751.137686807,0.2376,9340.786272716523,4304.294844590585
115,2586053.9457798065,0.2396,9340.786272716523,4317.285385275136
116,2593453.968114406,0.24,9340.786272716523,4322.423280190676
117,2595527.4242462455,0.24,9340.786272716523,4325.879040410409
118,2607887.118244916,0.2412,9340.786272716523,4324.854259112631
119,2614610.6650947393,0.2412,9340.786272716523,4336.004419725936
120,2618662.853280979,0.2412,9340.786272716523,4342.724466469285
121,2620502.383208495,0.2412,9340.786272716523,4345.775096531501
122,2622192.4126979886,0.2412,9340.786272716523,4348.577798835802
123,2622192.4126979886,0.2412,9340.786272716523,4348.577798835802
124,2622192.4126979886,0.2412,9340.786272716523,4348.577798835802
125,2672411.6629841863,0.2556,9340.786272716523,4182.177876344579
126,2699703.1721915663,0.2604,9340.786272716523,4147.009481093036
127,2708430.1244742693,0.2608,9340.786272716523,4154.033933242745
128,2769627.729348785,0.2608,9340.786272716523,4247.895290412246
129,2795413.500486702,0.2608,9340.786272716523,4287.444019151384
130,2830815.6943550296,0.2608,9340.786272716523,4341.741862507714
131,2851423.5575262136,0.2612,9340.786272716523,4366.65169605852
132,2874612.785540802,0.2624,9340.786272716523,4382.031685275612
133,2884909.9081632206,0.2628,9340.786272716523,4391.034867828342
134,2885203.0562467165,0.2628,9340.786272716523,4391.48105973625
135,2885484.2976141283,0.2628,9340.786272716523,4391.909128788628
136,2885681.263918407,0.2628,9340.786272716523,4392.208925294379
137,2885681.263918407,0.2628,9340.786272716523,4392.208925294379
138,2886795.0499618123,0.2628,9340.786272716523,4393.904185634417
139,2887461.0635745833,0.2628,9340.786272716523,4394.917904984145
140,2896739.5604826044,0.2632,9340.786272716523,4402.3397575723475
141,2911950.859199102,0.264,9340.786272716523,4412.046756362276
142,2919098.3725577425,0.2644,9340.786272716523,4416.185132462545
143,2928537.895403416,0.2648,9340.786272716523,4423.773255896399
144,2929512.25995012,0.2648,9340.786272716523,4425.245105664834
145,2938030.965086586,0.2652,9340.786272716523,4431.419253524262
146,2938411.463341958,0.2652,9340.786272716523,4431.993157378519
147,2938583.019573075,0.2652,9340.786272716523,4432.251914891516
148,2938706.1381169623,0.2652,9340.786272716523,4432.437614052734
149,2939234.2359445635,0.2652,9340.786272716523,4433.234141696174
150,2940329.185119278,0.2652,9340.786272716523,4434.885648747026
151,2940604.923351056,0.2652,9340.786272716523,4435.301543515921
152,2957809.0446959324,0.266,9340.786272716523,4447.833149918695
153,2958154.8871778557,0.266,9340.786272716523,4448.353213801287
154,2978011.0706322263,0.2668,9340.786272716523,4464.784213841419
155,2981515.360845358,0.2668,9340.786272716523,4470.038022256908
156,2985399.3544256277,0.2668,9340.786272716523,4475.861101087898
157,2989367.975012166,0.2668,9340.786272716523,4481.811056989754
158,2993041.65813101,0.2668,9340.786272716523,4487.318827782624
159,3003576.4171459503,0.2668,9340.786272716523,4503.113069184334
160,3005634.5729332035,0.2668,9340.786272716523,4506.198760019795
161,3011926.4939185684,0.2668,9340.786272716523,4515.631924915395
162,3012681.5380047862,0.2668,9340.786272716523,4516.763925044657
163,3028886.9692112273,0.2668,9340.786272716523,4541.059923854913
164,3033463.814799077,0.2668,9340.786272716523,4547.921761317956
165,3045105.5830657072,0.2672,9340.786272716523,4558.541292014532
166,3049903.1830970594,0.2672,9340.786272716523,4565.72332798961
167,3067951.2385645933,0.2672,9340.786272716523,4592.741375096696
168,3086975.860185892,0.2672,9340.786272716523,4621.221347583671
169,3094822.681122381,0.2672,9340.786272716523,4632.968085512546
170,3109715.3191336575,0.2672,9340.786272716523,4655.2624537929005
171,3115490.284137124,0.2672,9340.786272716523,4663.907610983719
172,3147861.456220836,0.2672,9340.786272716523,4712.367449432389
173,3158620.9417145434,0.2672,9340.786272716523,4728.474463644526
174,3173145.625165123,0.2672,9340.786272716523,4750.218001744196
175,3174019.1425269307,0.2672,9340.786272716523,4751.525662465465
176,3191618.1779189766,0.2672,9340.786272716523,4777.871523830803
177,3195192.250401658,0.2672,9340.786272716523,4783.221931739009
178,3212528.506466228,0.2676,9340.786272716523,4801.985809366559
179,3229444.7543528383,0.2684,9340.786272716523,4812.883389497523
180,3238028.066676361,0.2688,9340.786272716523,4818.494146839823
181,3242883.745035655,0.2688,9340.786272716523,4825.71985868401
182,3251812.9093355006,0.2692,9340.786272716523,4831.817101538634
183,3270542.5921345777,0.27,9340.786272716523,4845.248284643819
184,3277038.770971138,0.27,9340.786272716523,4854.872253290575
185,3279335.471672828,0.27,9340.786272716523,4858.274772848634
186,3281892.923685963,0.27,9340.786272716523,4862.063590645871
187,3288903.0414383956,0.27,9340.786272716523,4872.448950279105
188,3289421.5417303154,0.27,9340.786272716523,4873.217098859726
189,3289637.796783144,0.27,9340.786272716523,4873.537476715769
190,3313757.186670787,0.2712,9340.786272716523,4887.547472965763
191,3330833.2539170813,0.272,9340.786272716523,4898.284196936885
192,3339301.861142595,0.2724,9340.786272716523,4903.526962030242
193,3347711.3219616245,0.2728,9340.786272716523,4908.667627509713
194,3355228.332927973,0.2732,9340.786272716523,4912.4865782254365
195,3355396.032453234,0.2732,9340.786272716523,4912.732111937385
196,3355581.3524476117,0.2732,9340.786272716523,4913.003444286401
197,3355586.2141825263,0.2732,9340.786272716523,4913.010562492718
198,3355586.2141825263,0.2732,9340.786272716523,4913.010562492718
199,3356895.94205795,0.2732,9340.786272716523,4914.92817285205
200,3362122.897961361,0.2732,9340.786272716523,4922.5811097530905
201,3362933.1710588997,0.2732,9340.786272716523,4923.767453966178
202,3362933.1710588997,0.2732,9340.786272716523,4923.767453966178
203,3366081.71263066,0.2736,9340.786272716523,4921.172094489269
204,3366081.71263066,0.2736,9340.786272716523,4921.172094489269
205,3368299.4426554507,0.2736,9340.786272716523,4924.41438984715
206,3371098.3519793097,0.2736,9340.786272716523,4928.50636254285
207,3375132.261417133,0.2736,9340.786272716523,4934.403890960721
208,3394110.377984649,0.2736,9340.786272716523,4962.1496754161535
209,3401135.735750294,0.2736,9340.786272716523,4972.420666301599
210,3402131.332509756,0.2736,9340.786272716523,4973.876217119527
211,3409598.641991365,0.2736,9340.786272716523,4984.793336244686
212,3410693.6398591637,0.2736,9340.786272716523,4986.3942103204145
213,3411514.3252136824,0.2736,9340.786272716523,4987.594042710062
214,3412826.896560585,0.2736,9340.786272716523,4989.513006667522
215,3413347.309807002,0.2736,9340.786272716523,4990.273844747079
216,3414391.6978438967,0.2736,9340.786272716523,4991.8007278419545
217,3416750.565015351,0.2736,9340.786272716523,4995.24936405753
218,3418948.2093139044,0.2736,9340.786272716523,4998.462294318574
219,3420728.609919273,0.2736,9340.786272716523,5001.065219180224
220,3426455.5370865217,0.2736,9340.786272716523,5009.437919717137
221,3426967.129414951,0.2736,9340.786272716523,5010.185861717765
222,3426967.129414951,0.2736,9340.786272716523,5010.185861717765
223,3426967.129414951,0.2736,9340.786272716523,5010.185861717765
224,3438221.5339800944,0.274,9340.786272716523,5019.301509459991
225,3438221.5339800944,0.274,9340.786272716523,5019.301509459991
226,3438223.230217086,0.274,9340.786272716523,5019.303985718374
227,3438974.0998915066,0.274,9340.786272716523,5020.400145827017
228,3439682.362495433,0.274,9340.786272716523,5021.434105832749
229,3440291.519803487,0.274,9340.786272716523,5022.323386574434
230,3440350.042435347,0.274,9340.786272716523,5022.408821073499
231,3441388.726791536,0.274,9340.786272716523,5023.925148600782
232,3441582.840679585,0.274,9340.786272716523,5024.20852653954
233,3443709.97988907,0.274,9340.786272716523,5027.313839254117
234,3446573.1338035455,0.274,9340.786272716523,5031.493625990577
235,3449462.104267203,0.274,9340.786272716523,5035.711101120004
236,3452070.110184132,0.274,9340.786272716523,5039.51840902793
237,3453497.8639817825,0.274,9340.786272716523,5041.602721141288
238,3456861.316386377,0.274,9340.786272716523,5046.512870637047
239,3458217.321441304,0.274,9340.786272716523,5048.492440060298
240,3464995.4455746287,0.274,9340.786272716523,5058.387511787779
241,3471771.337507259,0.2744,9340.786272716523,5060.891162547025
242,3480606.542127573,0.2748,9340.786272716523,5066.385068599087
243,3508584.5106653087,0.2768,9340.786272716523,5070.208830441197
244,3512715.2712052935,0.2772,9340.786272716523,5068.853205202444
245,3536211.701892137,0.2784,9340.786272716523,5080.763939500197
246,3537517.418600988,0.2784,9340.786272716523,5082.639969254294
247,3538707.470118594,0.2784,9340.786272716523,5084.349813388784
248,3543249.256740558,0.2784,9340.786272716523,5090.875368880112
249,3553798.802588165,0.2792,9340.786272716523,5091.402295971583
250,3554269.3871157765,0.2792,9340.786272716523,5092.076485839221
251,3555750.6700560213,0.2792,9340.786272716523,5094.198667702036
252,3558717.2159980177,0.2792,9340.786272716523,5098.448733521515
253,3560924.1308193086,0.2792,9340.786272716523,5101.61050260646
254,3561413.129591167,0.2792,9340.786272716523,5102.311073912847
255,3562276.7929463983,0.2792,9340.786272716523,5103.548413963321
256,3563476.878525126,0.2792,9340.786272716523,5105.267734276685
257,3579025.2672978044,0.28,9340.786272716523,5112.893238996863
258,3591671.242934334,0.2812,9340.786272716523,5109.062934472737
259,3597826.0892885085,0.2864,9340.786272716523,5024.896772749314
