Iteration,QD-Score,Coverage,Maximum,Average
1,28604.73800076542,0.0388,401.1862585246563,294.89420619345793
2,37083.32908034183,0.0492,401.1862585246563,301.4904803279823
3,52314.491890846155,0.0652,646.6283428221941,320.94780301132613
4,76576.06631705962,0.0908,755.6327854301547,337.33949919409525
5,77263.89433890137,0.0908,755.6327854301547,340.3695785854686
6,82963.54546444974,0.0948,755.6327854301547,350.0571538584377
7,85397.3679749206,0.0964,755.6327854301547,354.34592520713943
8,92951.83457290281,0.0996,755.6327854301547,373.30054045342496
9,94259.3619706533,0.1004,755.6327854301547,375.53530665598925
10,96293.06985052122,0.102,755.6327854301547,377.61988176674987
11,96304.46686546697,0.102,755.6327854301547,377.6645759430077
12,96304.46686546697,0.102,755.6327854301547,377.6645759430077
13,101859.48970896877,0.104,766.1929678093875,391.76726811141833
14,104529.88266993727,0.1056,766.1929678093875,395.94652526491393
15,117341.50384238167,0.1208,766.1929678093875,388.54802596815125
16,154806.30320773638,0.1412,900.8290385613451,438.54476829387073
17,169443.37120717397,0.1556,900.8290385613451,435.58707251201537
18,198744.99497899407,0.16,938.4881783560152,496.8624874474852
19,201110.9702710743,0.1608,938.4881783560152,500.27604545043357
20,202999.21926098785,0.1624,938.4881783560152,499.99807699750704
21,235929.71154674326,0.2056,938.4881783560152,459.00722090806084
22,270184.7247643702,0.2368,938.4881783560152,456.3931161560307
23,277943.7610773814,0.2436,938.4881783560152,456.3936963503799
24,296411.14519376133,0.256,938.4881783560152,463.1424143652521
25,314462.7118467467,0.264,938.4881783560152,476.45865431325257
26,343429.1128560723,0.2788,956.463822621107,492.7246956328154
27,349448.7733910052,0.2808,990.9234496109187,497.7902754857624
28,388345.71260952804,0.2936,1384.645337612182,529.0813523290573
29,409460.0281263497,0.3024,1384.645337612182,541.6137938179229
30,426207.1725907961,0.3068,1484.7860438600183,555.6807986842191
31,440634.5973244653,0.3096,1484.7860438600183,569.2953453804461
32,465298.9581610512,0.3212,1484.7860438600183,579.4507573612095
33,484041.88389500615,0.34,1484.7860438600183,569.4610398764778
34,484217.82320235524,0.3448,1484.7860438600183,561.737613923846
35,487462.89033638674,0.3452,1484.7860438600183,564.8469181186405
36,489953.5864812882,0.3476,1484.7860438600183,563.8131029704122
37,497645.611936167,0.3484,1484.7860438600183,571.349726677574
38,499436.1116012005,0.3488,1484.7860438600183,572.7478344050464
39,565369.853829176,0.3636,1484.7860438600183,621.9690361157052
40,595311.7671489381,0.3656,1484.7860438600183,651.3257846268469
41,613677.8771639946,0.3676,1484.7860438600183,667.7670045310061
42,614321.7518182221,0.3676,1484.7860438600183,668.4676298348445
43,622027.4652803405,0.3692,1484.7860438600183,673.9192473243126
44,633285.5180797871,0.3704,1484.7860438600183,683.8936480343274
45,652656.4469683921,0.3784,1484.7860438600183,689.9116775564398
46,682619.0020474895,0.3836,1484.7860438600183,711.8029218430547
47,713465.3824906683,0.4264,1484.7860438600183,669.2921036497827
48,739536.9135373862,0.4296,1484.7860438600183,688.5818561800617
49,742821.7279149576,0.4296,1484.7860438600183,691.6403425651374
50,747020.8030537791,0.4296,1484.7860438600183,695.5500959532394
51,749637.4248116909,0.43,1484.7860438600183,697.3371393597125
52,749990.895732859,0.43,1484.7860438600183,697.6659495189386
53,784513.5056281922,0.4416,1484.7860438600183,710.6100594458263
54,785345.84841515,0.442,1484.7860438600183,710.7202248100905
55,790190.1442804958,0.4436,1484.7860438600183,712.5249272141531
56,790312.7023889447,0.4436,1484.7860438600183,712.6354394850719
57,798354.3557579137,0.4456,1517.3276176393033,716.6556155816102
58,798596.9756464766,0.4456,1517.3276176393033,716.8734072230491
59,817647.8821473893,0.4504,1840.6192217946052,726.1526484435074
60,828802.4696006596,0.452,2060.5240343272685,733.4535129209377
61,828806.9304311752,0.452,2060.5240343272685,733.457460558562
62,838136.1143213673,0.4536,2236.704084300995,739.0971025761617
63,840105.6175229499,0.4536,2318.816083741188,740.8338778861993
64,840308.8633065829,0.4536,2318.816083741188,741.0131069722953
65,840679.7056710308,0.4536,2318.816083741188,741.3401284576992
66,846479.8797522358,0.4544,2457.312773823738,745.1407392185174
67,851072.1003091624,0.4548,2457.312773823738,748.524274678243
68,851200.7391967957,0.4548,2457.312773823738,748.637413541597
69,856640.664905735,0.4548,2457.312773823738,753.4218688704793
70,867667.9798351877,0.4548,2457.312773823738,763.1204747890832
71,869574.7733490366,0.4548,2457.312773823738,764.7975139393461
72,875812.7227269761,0.4576,2457.312773823738,765.5705618242798
73,878961.4292907818,0.4616,2457.312773823738,761.6650167164487
74,887038.4476705083,0.4688,2457.312773823738,756.8587437461675
75,892290.2977615932,0.478,2457.312773823738,746.6864416415007
76,892498.2121435212,0.4784,2457.312773823738,746.2359633307033
77,895796.3470383453,0.4796,2457.312773823738,747.1195554948667
78,896298.1224112682,0.4796,2457.312773823738,747.5380503847107
79,897791.8017028889,0.4796,2457.312773823738,748.7838212701325
80,898356.2232801276,0.4796,2457.312773823738,749.254564870832
81,898902.7986133595,0.4796,2457.312773823738,749.7104241979645
82,906771.2797673153,0.4796,2457.312773823738,756.2729606066016
83,910949.9278141477,0.4796,2457.312773823738,759.7580715714325
84,915233.5416961445,0.48,2457.312773823738,762.6946180801204
85,917270.2138553204,0.4804,2457.312773823738,763.7553820610494
86,918147.5208696515,0.4804,2457.312773823738,764.4858625059546
87,934996.6576015477,0.4856,2457.312773823738,770.1784658991331
88,939716.320134716,0.4864,2457.312773823738,772.7930264265757
89,943490.2799587066,0.4864,2457.312773823738,775.8966118081469
90,958096.9842042398,0.4864,2457.312773823738,787.9087041153288
91,968632.2459097009,0.4872,2457.312773823738,795.264569712398
92,1005920.7741110933,0.4944,2457.312773823738,813.8517589895577
93,1031265.3656990137,0.5056,2457.312773823738,815.8744981795994
94,1039727.388657374,0.5072,2457.312773823738,819.9742812755316
95,1053951.1990283288,0.5072,2457.312773823738,831.1917973409533
96,1060383.9435722874,0.5072,2457.312773823738,836.2649397257787
97,1060383.9435722874,0.5072,2457.312773823738,836.2649397257787
98,1061247.857437799,0.5072,2457.312773823738,836.9462598089897
99,1066567.5690297368,0.5072,2457.312773823738,841.1416159540511
100,1072741.0087106782,0.5072,2457.312773823738,846.0102592355506
101,1090191.503245028,0.5076,2457.312773823738,859.0949592159401
102,1096134.8775393758,0.5076,2457.312773823738,863.7784692981685
103,1104571.277050823,0.5088,2457.312773823738,868.3736454802067
104,1110114.4315451675,0.5088,2457.312773823738,872.7314713405405
105,1116878.2854190168,0.5092,2457.312773823738,877.3592187109323
106,1117815.7550805102,0.5092,2457.312773823738,878.095644210927
107,1119561.437202556,0.5092,2457.312773823738,879.4669577396355
108,1126534.416528965,0.5108,2457.312773823738,882.1726049561199
109,1132976.5768994044,0.5152,2457.312773823738,879.6401994560593
110,1147200.6705286687,0.5188,2457.312773823738,884.5032155194053
111,1153903.1094093642,0.522,2457.312773823738,884.2169420761411
112,1163819.2249570398,0.524,2457.312773823738,888.4116221046105
113,1170450.6788412149,0.5256,2457.312773823738,890.7539412794633
114,1175317.1057531883,0.5256,2457.312773823738,894.4574625214523
115,1178233.6877389294,0.5256,2457.312773823738,896.6770835151669
116,1181063.8192166453,0.526,2457.312773823738,898.147391039274
117,1191245.6645378266,0.5284,2457.312773823738,901.7756733821549
118,1200563.9901691035,0.5304,2457.312773823738,905.4027075181776
119,1213499.8175747208,0.5332,2457.312773823738,910.3524512938641
120,1217980.3247852873,0.534,2457.312773823738,912.3448125732489
121,1218013.1967553715,0.534,2457.312773823738,912.3694357718139
122,1223808.3638707828,0.5352,2457.312773823738,914.654980471437
123,1229678.7316983908,0.5364,2457.312773823738,916.9863771054369
124,1232187.0233106469,0.5368,2457.312773823738,918.1721485176206
125,1240113.498133327,0.538,2457.312773823738,922.0174707310982
126,1243011.493027851,0.5384,2457.312773823738,923.4855074501122
127,1251675.8950932412,0.54,2457.312773823738,927.1673296986972
128,1264894.9959267115,0.5424,2457.312773823738,932.8134188250085
129,1271005.7822730762,0.5432,2457.312773823738,935.9394567548426
130,1271277.4111134512,0.5432,2475.568340075016,936.1394779922322
131,1275860.4740407425,0.544,2475.568340075016,938.132701500546
132,1276230.213315614,0.544,2475.568340075016,938.404568614422
133,1276837.6336285898,0.544,2475.568340075016,938.8512011974925
134,1277085.6692734503,0.544,2475.568340075016,939.0335803481252
135,1277085.6692734503,0.544,2475.568340075016,939.0335803481252
136,1277085.6692734503,0.544,2475.568340075016,939.0335803481252
137,1277085.6692734503,0.544,2475.568340075016,939.0335803481252
138,1277734.3359764176,0.544,2475.568340075016,939.5105411591306
139,1277811.1253751998,0.544,2475.568340075016,939.5670039523528
140,1280345.7730627914,0.544,2475.568340075016,941.4307154873467
141,1280415.0431847116,0.544,2475.568340075016,941.4816494005232
142,1280557.41478279,0.544,2475.568340075016,941.5863343991103
143,1280611.928725982,0.544,2475.568340075016,941.6264181808692
144,1280611.928725982,0.544,2475.568340075016,941.6264181808692
145,1280611.928725982,0.544,2475.568340075016,941.6264181808692
146,1281086.2448316377,0.544,2475.568340075016,941.9751800232631
147,1281086.2448316377,0.544,2475.568340075016,941.9751800232631
148,1281162.2515862088,0.544,2475.568340075016,942.0310673428006
149,1281162.2515862088,0.544,2475.568340075016,942.0310673428006
150,1281214.610979433,0.544,2475.568340075016,942.0695668966418
