Iteration,QD-Score,Coverage,Maximum,Average
1,13372.706100875148,0.0176,455.3082103172317,303.92513865625335
2,41699.1869284084,0.056,455.3082103172317,297.85133520291714
3,74277.5408252088,0.0968,462.2304036055924,306.9319868810281
4,94823.50690153136,0.1264,462.2304036055924,300.0743889288967
5,104434.62794730546,0.1336,838.926066264906,312.6785267883397
6,126649.037800132,0.1388,953.3635266755242,364.9828178678156
7,136199.85669881277,0.1428,953.3635266755242,381.512203638131
8,160312.97481579453,0.1512,1048.9134684443475,424.1083989835834
9,186311.33757434814,0.1752,1048.9134684443475,425.3683506263656
10,231919.88350026208,0.2152,1048.9134684443475,431.07785037223437
11,289678.99270647514,0.2536,1073.3467926949263,456.9069285591091
12,301633.95884224714,0.2608,1073.3467926949263,462.6287712304404
13,311878.3665162353,0.2648,1306.8538455575704,471.1153572752799
14,329142.67805824167,0.27,1615.3224390089513,487.6187823085062
15,339293.6404994681,0.27,1941.7369431078434,502.65724518439714
16,368443.6505557946,0.2736,2133.5926396250725,538.6603078301091
17,375659.7113587848,0.2756,2133.5926396250725,545.2245447877864
18,396868.67338996776,0.2804,2400.535442328453,566.1464670327642
19,397880.1790542806,0.2804,2400.535442328453,567.589413772155
20,403575.65337777813,0.2812,2500.4877617895604,574.076320594279
21,416300.72152251384,0.2832,2500.4877617895604,587.9953693820817
22,450093.7697909792,0.3012,2500.4877617895604,597.7340900278608
23,481881.77055900695,0.308,2500.4877617895604,625.8204812454636
24,522179.4470754687,0.3124,2581.0481647014617,668.6036454231354
25,529189.4884017829,0.3132,2628.9006852567195,675.8486441912936
26,539732.5694984798,0.3144,2682.9528642892838,686.6826583950125
27,548809.3932577258,0.3196,2700.409874022007,686.8703294840122
28,549890.1114019846,0.3196,2700.409874022007,688.2229178998556
29,592914.1778114861,0.3324,2700.409874022007,713.4947988104525
30,594511.0036833619,0.3324,2700.409874022007,715.4163702567532
31,606482.2260618065,0.334,2728.5114752709865,726.3260192356964
32,609255.6369236738,0.334,2728.5114752709865,729.6474693696692
33,611428.2609409601,0.334,2787.4433666884897,732.249414300551
34,615907.8408453525,0.334,2787.4433666884897,737.6141806531168
35,617233.8864048005,0.334,2867.9816705167295,739.2022591674257
36,618822.3181178719,0.334,2867.9816705167295,741.1045725962538
37,620318.4922544092,0.334,2867.9816705167295,742.8963979094722
38,631318.49480052,0.3356,2867.9816705167295,752.4654288444815
39,636637.51069417,0.3364,2867.9816705167295,757.0006072463377
40,636781.8486005127,0.3364,2867.9816705167295,757.1722337699318
41,636807.8934111267,0.3364,2867.9816705167295,757.2032026291637
42,639412.5793011575,0.3368,2882.856914138794,759.3973625904483
43,640174.3244795649,0.3368,2913.1873751819135,760.3020480754927
44,641249.859481108,0.3368,2913.1873751819135,761.5794055595107
45,641847.541330096,0.3368,2940.4221169173716,762.2892414846746
46,642212.690531358,0.3368,2940.4221169173716,762.7229103697839
47,644837.717839533,0.3372,2940.4221169173716,764.9320496317117
